caracteres, tempo (ms), tamanho (kb)
1845, 60,60
1846, 59,60
1847, 63,60
1848, 57,60
1849, 57,60
1850, 55,60
1851, 50,60
1852, 50,60
1853, 50,60
1854, 50,60
1855, 50,60
1856, 50,60
1857, 53,60
1858, 52,60
1859, 51,60
1860, 51,60
1861, 52,60
1862, 52,60
1863, 49,60
1864, 50,60
1865, 52,60
1866, 55,60
1867, 49,60
1868, 52,60
1869, 51,60
1870, 54,60
1871, 56,60
1872, 54,60
1873, 57,60
1874, 53,60
1875, 52,60
1876, 54,60
1877, 51,60
1878, 51,60
1879, 51,60
1880, 57,60
1881, 63,60
1882, 75,60
1883, 53,60
1884, 53,60
1885, 58,60
1886, 52,60
1887, 53,60
1888, 50,60
1889, 51,60
1890, 56,60
1891, 55,60
1892, 52,60
1893, 52,60
1894, 54,60
1895, 53,60
1896, 55,60
1897, 55,60
1898, 57,60
1899, 58,60
1900, 61,60
1901, 52,60
1902, 54,60
1903, 53,60
1904, 59,60
1905, 52,60
1906, 50,60
1907, 51,60
1908, 51,60
1909, 52,60
1910, 52,60
1911, 54,60
1912, 57,60
1913, 52,60
1914, 50,60
1915, 50,60
1916, 52,60
1917, 53,60
1918, 60,60
1919, 57,60
1920, 57,60
1921, 73,60
1922, 67,60
1923, 53,60
1924, 52,60
1925, 52,60
1926, 52,60
1927, 54,60
1928, 54,60
1929, 54,60
1930, 55,60
1931, 52,60
1932, 52,60
1933, 69,60
1934, 53,60
1935, 64,60
1936, 52,60
1937, 55,60
1938, 53,60
1939, 55,60
1940, 54,60
1941, 51,60
1942, 58,60
1943, 52,60
1944, 92,60
1945, 67,60
1946, 51,60
1947, 55,60
1948, 57,60
1949, 55,60
1950, 51,60
1951, 51,60
1952, 52,60
1953, 58,60
1954, 55,60
1955, 67,60
1956, 58,60
1957, 78,60
1958, 71,60
1959, 63,60
1960, 67,60
1961, 85,60
1962, 68,60
1963, 65,60
1964, 72,60
1965, 92,60
1966, 66,60
1967, 67,60
1968, 53,60
1969, 52,60
1970, 57,60
1971, 61,60
1972, 52,60
1973, 51,60
1974, 54,60
1975, 57,60
1976, 56,60
1977, 52,60
1978, 51,60
1979, 52,60
1980, 55,60
1981, 54,60
1982, 51,60
1983, 51,60
1984, 53,60
1985, 54,60
1986, 55,60
1987, 60,60
1988, 60,60
1989, 59,60
1990, 60,60
1991, 69,60
1992, 56,60
1993, 58,60
1994, 52,60
1995, 53,60
1996, 53,60
1997, 54,60
1998, 56,60
1999, 60,60
2000, 54,60
2001, 55,60
2002, 54,60
2003, 55,60
2004, 56,60
2005, 58,60
2006, 59,60
2007, 61,60
2008, 57,60
2009, 63,60
2010, 54,60
2011, 54,60
2012, 54,60
2013, 55,60
2014, 55,60
2015, 54,60
2016, 56,60
2017, 54,60
2018, 55,60
2019, 52,60
2020, 56,60
2021, 59,60
2022, 53,60
2023, 53,60
2024, 52,60
2025, 59,60
2026, 53,60
2027, 54,60
2028, 58,60
2029, 58,60
2030, 57,60
2031, 58,60
2032, 62,60
2033, 74,60
2034, 66,60
2035, 60,60
2036, 59,60
2037, 59,60
2038, 61,60
2039, 56,60
2040, 57,60
2041, 58,60
2042, 60,60
2043, 56,60
2044, 54,60
2045, 52,60
2046, 56,60
2047, 55,60
2048, 53,60
2049, 51,60
2050, 53,60
2051, 57,60
2052, 53,60
2053, 54,60
2054, 57,60
2055, 55,60
2056, 54,60
2057, 53,60
2058, 55,60
2059, 54,60
2060, 54,60
2061, 54,60
2062, 55,60
2063, 54,60
2064, 55,60
2065, 53,60
2066, 64,60
2067, 54,60
2068, 54,60
2069, 57,60
2070, 53,60
2071, 54,60
2072, 55,60
2073, 55,60
2074, 59,60
2075, 54,60
2076, 53,60
2077, 56,60
2078, 60,60
2079, 53,60
2080, 56,60
2081, 54,60
2082, 55,60
2083, 54,60
2084, 52,60
2085, 60,60
2086, 57,60
2087, 57,60
2088, 64,60
2089, 59,60
2090, 58,60
2091, 58,60
2092, 59,60
2093, 59,60
2094, 59,60
2095, 59,60
2096, 59,60
2097, 58,60
2098, 56,60
2099, 57,60
2100, 55,60
2101, 56,60
2102, 54,60
2103, 54,60
2104, 56,60
2105, 64,60
2106, 57,60
2107, 60,60
2108, 61,60
2109, 62,60
2110, 62,60
2111, 64,60
2112, 60,60
2113, 66,60
2114, 60,60
2115, 62,60
2116, 79,60
2117, 73,60
2118, 61,60
2119, 60,60
2120, 59,60
2121, 59,60
2122, 55,60
2123, 55,60
2124, 55,60
2125, 58,60
2126, 55,60
2127, 56,60
2128, 57,60
2129, 56,60
2130, 56,60
2131, 58,60
2132, 55,60
2133, 56,60
2134, 55,60
2135, 56,60
2136, 63,60
2137, 54,60
2138, 55,60
2139, 59,60
2140, 55,60
2141, 56,60
2142, 57,60
2143, 55,60
2144, 54,60
2145, 55,60
2146, 57,60
2147, 58,60
2148, 62,60
2149, 55,60
2150, 55,60
2151, 55,60
2152, 56,60
2153, 57,60
2154, 54,60
2155, 55,60
2156, 57,60
2157, 59,60
2158, 57,60
2159, 57,60
2160, 57,60
2161, 58,60
2162, 56,60
2163, 56,60
2164, 59,60
2165, 58,60
2166, 59,60
2167, 72,60
2168, 55,60
2169, 58,60
2170, 55,60
2171, 56,60
2172, 54,60
2173, 55,60
2174, 61,60
2175, 59,60
2176, 55,60
2177, 55,60
2178, 58,60
2179, 56,60
2180, 58,60
2181, 54,60
2182, 58,60
2183, 56,60
2184, 56,60
2185, 55,60
2186, 56,60
2187, 59,60
2188, 58,60
2189, 57,60
2190, 57,60
2191, 60,60
2192, 56,60
2193, 56,60
2194, 57,60
2195, 60,60
2196, 59,60
2197, 56,60
2198, 67,60
2199, 63,60
2200, 56,60
2201, 55,60
2202, 58,60
2203, 57,60
2204, 56,60
2205, 58,60
2206, 57,60
2207, 56,60
2208, 59,60
2209, 58,60
2210, 55,60
2211, 56,60
2212, 56,60
2213, 57,60
2214, 58,60
2215, 57,60
2216, 58,60
2217, 58,60
2218, 57,60
2219, 59,60
2220, 56,60
2221, 63,60
2222, 58,60
2223, 55,60
2224, 57,60
2225, 58,60
2226, 60,60
2227, 57,60
2228, 56,60
2229, 58,60
2230, 57,60
2231, 56,60
2232, 57,60
2233, 56,60
2234, 56,60
2235, 59,60
2236, 57,60
2237, 57,60
2238, 64,60
2239, 57,60
2240, 56,60
2241, 56,60
2242, 58,60
2243, 57,60
2244, 64,60
2245, 55,60
2246, 56,60
2247, 57,60
2248, 56,60
2249, 59,60
2250, 58,60
2251, 56,60
2252, 67,60
2253, 57,60
2254, 57,60
2255, 57,60
2256, 58,60
2257, 57,60
2258, 57,60
2259, 57,60
2260, 57,60
2261, 63,60
2262, 60,60
2263, 56,60
2264, 57,60
2265, 60,60
2266, 56,60
2267, 58,60
2268, 64,60
2269, 63,60
2270, 57,60
2271, 56,60
2272, 57,60
2273, 63,60
2274, 58,60
2275, 58,60
2276, 58,60
2277, 58,60
2278, 59,60
2279, 58,60
2280, 58,60
2281, 65,60
2282, 61,60
2283, 57,60
2284, 59,60
2285, 61,60
2286, 65,60
2287, 59,60
2288, 57,60
2289, 59,60
2290, 60,60
2291, 58,60
2292, 58,60
2293, 61,60
2294, 58,60
2295, 59,60
2296, 57,60
2297, 58,60
2298, 59,60
2299, 58,60
2300, 59,60
2301, 59,59
2302, 58,60
2303, 60,60
2304, 58,60
2305, 59,60
2306, 61,60
2307, 57,60
2308, 60,60
2309, 58,60
2310, 59,60
2311, 63,60
2312, 69,60
2313, 68,60
2314, 72,60
2315, 60,60
2316, 62,60
2317, 64,59
2318, 62,60
2319, 66,60
2320, 69,60
2321, 63,60
2322, 62,60
2323, 64,60
2324, 67,59
2325, 61,60
2326, 60,60
2327, 65,60
2328, 61,60
2329, 60,60
2330, 60,59
2331, 62,60
2332, 59,60
2333, 62,60
2334, 69,59
2335, 71,59
2336, 62,60
2337, 60,60
2338, 62,60
2339, 65,59
2340, 59,60
2341, 60,60
2342, 60,60
2343, 62,60
2344, 59,59
2345, 60,60
2346, 59,59
2347, 58,59
2348, 60,59
2349, 60,59
2350, 60,59
2351, 59,60
2352, 60,59
2353, 62,60
2354, 61,59
2355, 66,59
2356, 59,59
2357, 61,59
2358, 59,59
2359, 58,60
2360, 60,59
2361, 62,59
2362, 60,60
2363, 60,60
2364, 61,59
2365, 58,59
2366, 58,59
2367, 59,59
2368, 63,59
2369, 62,59
2370, 65,59
2371, 64,59
2372, 61,59
2373, 59,59
2374, 63,59
2375, 60,59
2376, 61,59
2377, 61,59
2378, 58,59
2379, 59,59
2380, 62,59
2381, 67,59
2382, 62,59
2383, 60,59
2384, 72,59
2385, 64,59
2386, 61,59
2387, 70,59
2388, 68,59
2389, 63,59
2390, 61,59
2391, 69,59
2392, 68,59
2393, 65,59
2394, 67,59
2395, 66,59
2396, 68,59
2397, 67,59
2398, 66,59
2399, 65,59
2400, 70,59
2401, 69,59
2402, 69,59
2403, 70,59
2404, 69,59
2405, 65,59
2406, 64,59
2407, 62,59
2408, 60,59
2409, 60,59
2410, 62,59
2411, 60,59
2412, 59,59
2413, 59,59
2414, 62,59
2415, 64,59
2416, 65,59
2417, 61,59
2418, 61,59
2419, 60,59
2420, 61,59
2421, 59,59
2422, 60,59
2423, 64,59
2424, 60,59
2425, 61,59
2426, 63,59
2427, 60,59
2428, 62,59
2429, 65,59
2430, 65,59
2431, 69,59
2432, 63,59
2433, 70,59
2434, 60,59
2435, 62,59
2436, 60,59
2437, 60,59
2438, 63,59
2439, 66,59
2440, 60,59
2441, 60,59
2442, 62,59
2443, 63,59
2444, 67,59
2445, 63,59
2446, 61,59
2447, 61,59
2448, 63,59
2449, 61,59
2450, 62,59
2451, 61,59
2452, 61,59
2453, 63,59
2454, 62,59
2455, 64,59
2456, 61,59
2457, 66,59
2458, 62,59
2459, 61,59
2460, 62,59
2461, 64,59
2462, 63,59
2463, 64,59
2464, 61,59
2465, 61,59
2466, 61,59
2467, 61,59
2468, 63,59
2469, 64,59
2470, 61,59
2471, 64,59
2472, 63,59
2473, 64,59
2474, 62,59
2475, 62,59
2476, 61,59
2477, 61,59
2478, 63,59
2479, 65,59
2480, 63,59
2481, 64,59
2482, 62,59
2483, 61,59
2484, 61,59
2485, 88,59
2486, 62,59
2487, 69,59
2488, 62,59
2489, 63,59
2490, 63,59
2491, 61,59
2492, 61,59
2493, 66,59
2494, 62,59
2495, 66,59
2496, 65,59
2497, 64,59
2498, 64,59
2499, 61,59
2500, 61,59
2501, 63,59
2502, 64,59
2503, 67,59
2504, 64,59
2505, 68,59
2506, 67,59
2507, 65,59
2508, 64,59
2509, 61,59
2510, 68,59
2511, 62,59
2512, 63,59
2513, 61,59
2514, 62,59
2515, 66,59
2516, 62,59
2517, 62,59
2518, 68,59
2519, 63,59
2520, 64,59
2521, 62,59
2522, 66,59
2523, 71,59
2524, 63,59
2525, 64,59
2526, 70,59
2527, 63,59
2528, 60,59
2529, 63,59
2530, 62,59
2531, 64,59
2532, 65,59
2533, 63,59
2534, 66,59
2535, 64,59
2536, 61,59
2537, 64,59
2538, 62,59
2539, 63,59
2540, 64,59
2541, 64,59
2542, 66,59
2543, 62,59
2544, 71,59
2545, 63,59
2546, 63,59
2547, 63,59
2548, 67,59
2549, 64,59
2550, 66,59
2551, 64,59
2552, 64,59
2553, 66,59
2554, 62,59
2555, 65,59
2556, 64,59
2557, 65,59
2558, 64,59
2559, 64,59
2560, 64,59
2561, 63,59
2562, 62,59
2563, 64,59
2564, 64,59
2565, 68,59
2566, 64,59
2567, 62,59
2568, 62,59
2569, 62,59
2570, 63,59
2571, 66,59
2572, 66,59
2573, 65,59
2574, 63,59
2575, 61,59
2576, 62,59
2577, 63,59
2578, 63,59
2579, 63,59
2580, 64,59
2581, 66,59
2582, 63,59
2583, 62,59
2584, 67,59
2585, 65,59
2586, 64,59
2587, 65,59
2588, 69,59
2589, 65,59
2590, 69,59
2591, 63,59
2592, 63,59
2593, 63,59
2594, 63,59
2595, 65,59
2596, 65,59
2597, 67,59
2598, 72,59
2599, 62,59
2600, 63,59
2601, 65,59
2602, 72,59
2603, 70,59
2604, 66,59
2605, 70,59
2606, 63,59
2607, 68,59
2608, 63,59
2609, 64,59
2610, 65,59
2611, 66,59
2612, 66,59
2613, 67,59
2614, 63,59
2615, 63,59
2616, 69,59
2617, 66,59
2618, 63,59
2619, 67,59
2620, 64,59
2621, 69,59
2622, 70,59
2623, 64,59
2624, 64,59
2625, 74,59
2626, 65,59
2627, 66,59
2628, 68,59
2629, 69,59
2630, 65,59
2631, 70,59
2632, 69,59
2633, 63,59
2634, 74,59
2635, 64,59
2636, 66,59
2637, 65,59
2638, 66,59
2639, 65,59
2640, 62,59
2641, 64,59
2642, 66,59
2643, 64,59
2644, 67,59
2645, 68,59
2646, 68,59
2647, 64,59
2648, 65,59
2649, 67,59
2650, 66,59
2651, 65,59
2652, 66,59
2653, 67,59
2654, 66,59
2655, 65,59
2656, 66,59
2657, 66,59
2658, 64,59
2659, 70,59
2660, 70,59
2661, 64,59
2662, 64,59
2663, 66,59
2664, 69,59
2665, 65,59
2666, 64,59
2667, 66,59
2668, 67,59
2669, 70,59
2670, 68,59
2671, 68,59
2672, 69,59
2673, 65,59
2674, 66,59
2675, 64,59
2676, 65,59
2677, 65,59
2678, 64,59
2679, 66,59
2680, 67,59
2681, 68,59
2682, 72,59
2683, 66,59
2684, 64,59
2685, 64,59
2686, 65,59
2687, 66,59
2688, 71,59
2689, 64,59
2690, 71,59
2691, 69,59
2692, 65,59
2693, 65,59
2694, 67,59
2695, 70,59
2696, 71,59
2697, 68,59
2698, 67,59
2699, 66,59
2700, 78,59
2701, 67,59
2702, 68,59
2703, 66,59
2704, 67,59
2705, 66,59
2706, 69,59
2707, 65,59
2708, 66,59
2709, 71,59
2710, 69,59
2711, 67,59
2712, 67,59
2713, 75,59
2714, 72,59
2715, 65,59
2716, 67,59
2717, 69,59
2718, 68,59
2719, 72,59
2720, 68,59
2721, 66,59
2722, 66,59
2723, 68,59
2724, 69,59
2725, 65,59
2726, 82,59
2727, 72,59
2728, 67,59
2729, 66,59
2730, 68,59
2731, 74,59
2732, 69,59
2733, 67,59
2734, 72,59
2735, 77,59
2736, 108,59
2737, 78,59
2738, 72,59
2739, 71,59
2740, 70,59
2741, 69,59
2742, 71,59
2743, 66,59
2744, 78,59
2745, 88,59
2746, 80,59
2747, 77,59
2748, 72,59
2749, 81,59
2750, 81,59
2751, 88,59
2752, 85,59
2753, 74,59
2754, 73,59
2755, 76,59
2756, 83,59
2757, 74,59
2758, 75,59
2759, 75,59
2760, 79,59
2761, 77,59
2762, 72,59
2763, 70,59
2764, 71,59
2765, 69,59
2766, 74,59
2767, 73,59
2768, 73,59
2769, 69,59
2770, 72,59
2771, 75,59
2772, 70,59
2773, 70,59
2774, 66,59
2775, 69,59
2776, 67,59
2777, 70,59
2778, 72,59
2779, 66,59
2780, 67,59
2781, 69,59
2782, 67,59
2783, 69,59
2784, 69,59
2785, 72,59
2786, 69,59
2787, 65,59
2788, 65,59
2789, 67,59
2790, 66,59
2791, 68,59
2792, 67,59
2793, 70,59
2794, 69,59
2795, 71,59
2796, 66,59
2797, 75,59
2798, 69,59
2799, 69,59
2800, 69,59
2801, 67,59
2802, 70,59
2803, 70,59
2804, 68,59
2805, 69,59
2806, 65,59
2807, 76,59
2808, 67,59
2809, 67,59
2810, 67,59
2811, 68,59
2812, 67,59
2813, 80,59
2814, 72,59
2815, 67,59
2816, 67,59
2817, 66,59
2818, 73,59
2819, 74,59
2820, 71,59
2821, 70,59
2822, 68,59
2823, 68,59
2824, 65,59
2825, 66,59
2826, 65,59
2827, 67,59
2828, 67,59
2829, 70,59
2830, 70,59
2831, 70,59
2832, 67,59
2833, 73,59
2834, 72,59
2835, 73,59
2836, 74,59
2837, 82,59
2838, 77,59
2839, 74,59
2840, 73,59
2841, 76,59
2842, 84,59
2843, 75,59
2844, 73,59
2845, 72,59
2846, 72,59
2847, 72,59
2848, 74,59
2849, 82,59
2850, 73,59
2851, 71,59
2852, 71,59
2853, 67,59
2854, 68,59
2855, 70,59
2856, 80,59
2857, 74,59
2858, 70,59
2859, 68,59
2860, 70,59
2861, 70,59
2862, 70,59
2863, 69,59
2864, 68,59
2865, 74,59
2866, 72,59
2867, 67,59
2868, 69,59
2869, 69,59
2870, 70,59
2871, 71,59
2872, 73,59
2873, 67,59
2874, 68,59
2875, 73,59
2876, 68,59
2877, 69,59
2878, 73,59
2879, 72,59
2880, 73,59
2881, 73,59
2882, 78,59
2883, 73,59
2884, 70,59
2885, 72,59
2886, 77,59
2887, 98,59
2888, 81,59
2889, 77,59
2890, 91,59
2891, 86,59
2892, 75,59
2893, 72,59
2894, 70,59
2895, 68,59
2896, 68,59
2897, 70,59
2898, 71,59
2899, 73,59
2900, 74,59
2901, 75,59
2902, 69,59
2903, 68,59
2904, 69,59
2905, 70,59
2906, 72,59
2907, 71,59
2908, 69,59
2909, 69,59
2910, 70,59
2911, 71,59
2912, 70,59
2913, 69,59
2914, 70,59
2915, 68,59
2916, 83,59
2917, 70,59
2918, 73,59
2919, 70,59
2920, 71,59
2921, 69,59
2922, 69,59
2923, 68,59
2924, 73,59
2925, 73,59
2926, 71,59
2927, 70,59
2928, 70,59
2929, 71,59
2930, 69,59
2931, 72,59
2932, 70,59
2933, 75,59
2934, 75,59
2935, 73,59
2936, 73,59
2937, 71,59
2938, 72,59
2939, 72,59
2940, 71,59
2941, 74,59
2942, 74,59
2943, 70,59
2944, 71,59
2945, 73,59
2946, 73,59
2947, 70,59
2948, 75,59
2949, 77,59
2950, 73,59
2951, 74,59
2952, 76,59
2953, 81,59
2954, 78,59
2955, 72,59
2956, 78,59
2957, 72,59
2958, 70,59
2959, 76,59
2960, 72,59
2961, 71,59
2962, 71,59
2963, 73,59
2964, 70,59
2965, 68,59
2966, 70,59
2967, 72,59
2968, 70,59
2969, 72,59
2970, 70,59
2971, 81,59
2972, 72,59
2973, 77,59
2974, 80,59
2975, 79,59
2976, 86,59
2977, 89,59
2978, 77,59
2979, 78,59
2980, 98,59
2981, 91,59
2982, 88,59
2983, 76,59
2984, 76,59
2985, 72,59
2986, 78,59
2987, 74,59
2988, 78,59
2989, 88,59
2990, 76,59
2991, 76,59
2992, 82,59
2993, 72,59
2994, 71,59
2995, 73,59
2996, 75,59
2997, 71,59
2998, 72,59
2999, 72,59
3000, 72,59
3001, 73,59
3002, 74,59
3003, 71,59
3004, 71,59
3005, 69,59
3006, 75,59
3007, 80,59
3008, 77,59
3009, 78,59
3010, 80,59
3011, 79,59
3012, 78,59
3013, 78,59
3014, 77,59
3015, 76,59
3016, 74,59
3017, 71,59
3018, 77,59
3019, 74,59
3020, 70,59
3021, 73,59
3022, 71,59
3023, 72,59
3024, 72,59
3025, 72,59
3026, 79,59
3027, 72,59
3028, 73,59
3029, 74,59
3030, 71,59
3031, 71,59
3032, 75,59
3033, 73,59
3034, 73,59
3035, 78,59
3036, 90,59
3037, 73,59
3038, 71,59
3039, 76,59
3040, 72,59
3041, 76,59
3042, 72,59
3043, 75,59
3044, 73,59
3045, 73,59
3046, 75,59
3047, 73,59
3048, 72,59
3049, 71,59
3050, 71,59
3051, 71,59
3052, 74,59
3053, 74,59
3054, 73,59
3055, 79,59
3056, 77,59
3057, 80,59
3058, 82,59
3059, 76,59
3060, 74,59
3061, 72,59
3062, 72,59
3063, 71,59
3064, 72,59
3065, 72,59
3066, 76,59
3067, 75,59
3068, 72,59
3069, 78,59
3070, 76,59
3071, 71,59
3072, 73,59
3073, 74,59
3074, 74,59
3075, 74,59
3076, 73,59
3077, 73,59
3078, 73,59
3079, 75,59
3080, 76,59
3081, 79,59
3082, 74,59
3083, 73,59
3084, 72,59
3085, 78,59
3086, 73,59
3087, 75,59
3088, 75,59
3089, 76,59
3090, 74,59
3091, 74,59
3092, 75,59
3093, 78,59
3094, 73,59
3095, 71,59
3096, 73,59
3097, 73,59
3098, 73,59
3099, 74,59
3100, 79,59
3101, 78,59
3102, 74,59
3103, 74,59
3104, 73,59
3105, 72,59
3106, 74,59
3107, 77,59
3108, 74,59
3109, 76,59
3110, 75,59
3111, 76,59
3112, 76,59
3113, 79,59
3114, 73,59
3115, 74,59
3116, 75,59
3117, 72,59
3118, 72,59
3119, 73,59
3120, 80,59
3121, 73,59
3122, 74,59
3123, 72,59
3124, 73,59
3125, 76,59
3126, 80,59
3127, 82,59
3128, 74,59
3129, 74,59
3130, 115,59
3131, 100,59
3132, 77,59
3133, 81,59
3134, 77,59
3135, 74,59
3136, 75,59
3137, 76,59
3138, 76,59
3139, 85,59
3140, 75,59
3141, 74,59
3142, 73,59
3143, 73,59
3144, 76,59
3145, 74,59
3146, 76,59
3147, 75,59
3148, 75,59
3149, 75,59
3150, 75,59
3151, 76,59
3152, 86,59
3153, 76,59
3154, 77,59
3155, 74,59
3156, 87,59
3157, 76,59
3158, 77,59
3159, 75,59
3160, 81,59
3161, 80,59
3162, 84,59
3163, 74,59
3164, 75,59
3165, 87,59
3166, 77,59
3167, 76,59
3168, 77,59
3169, 75,59
3170, 75,59
3171, 77,59
3172, 78,59
3173, 75,59
3174, 77,59
3175, 74,59
3176, 78,59
3177, 81,59
3178, 89,59
3179, 76,59
3180, 75,59
3181, 82,59
3182, 97,59
3183, 80,59
3184, 80,59
3185, 76,59
3186, 76,59
3187, 74,59
3188, 73,59
3189, 74,59
3190, 74,59
3191, 80,59
3192, 93,59
3193, 79,59
3194, 76,59
3195, 78,59
3196, 79,59
3197, 87,59
3198, 80,59
3199, 76,59
3200, 74,59
3201, 74,59
3202, 77,59
3203, 78,59
3204, 81,59
3205, 80,59
3206, 80,59
3207, 76,59
3208, 90,59
3209, 112,59
3210, 86,59
3211, 77,59
3212, 89,59
3213, 94,59
3214, 92,59
3215, 91,59
3216, 81,59
3217, 82,59
3218, 83,59
3219, 83,59
3220, 101,59
3221, 83,59
3222, 81,59
3223, 83,59
3224, 73,59
3225, 74,59
3226, 77,59
3227, 82,59
3228, 89,59
3229, 83,59
3230, 84,59
3231, 85,59
3232, 127,59
3233, 77,59
3234, 87,59
3235, 95,59
3236, 82,59
3237, 75,59
3238, 76,59
3239, 77,59
3240, 75,59
3241, 78,59
3242, 81,59
3243, 82,59
3244, 82,59
3245, 87,59
3246, 89,59
3247, 85,59
3248, 76,59
3249, 77,59
3250, 79,59
3251, 74,59
3252, 79,59
3253, 74,59
3254, 80,59
3255, 79,59
3256, 77,59
3257, 81,59
3258, 75,59
3259, 79,59
3260, 76,59
3261, 77,59
3262, 78,59
3263, 77,59
3264, 78,59
3265, 77,59
3266, 74,59
3267, 79,59
3268, 86,59
3269, 78,59
3270, 78,59
3271, 82,59
3272, 82,59
3273, 94,59
3274, 101,59
3275, 80,59
3276, 81,59
3277, 82,59
3278, 82,59
3279, 82,59
3280, 83,59
3281, 81,59
3282, 81,59
3283, 83,59
3284, 81,59
3285, 81,59
3286, 88,59
3287, 79,59
3288, 79,59
3289, 80,59
3290, 84,59
3291, 81,59
3292, 79,59
3293, 80,59
3294, 76,59
3295, 76,59
3296, 80,59
3297, 78,59
3298, 76,59
3299, 77,59
3300, 76,59
3301, 76,59
3302, 74,59
3303, 79,59
3304, 83,59
3305, 81,59
3306, 79,59
3307, 77,59
3308, 77,59
3309, 77,59
3310, 76,59
3311, 78,59
3312, 79,59
3313, 75,59
3314, 78,59
3315, 77,59
3316, 75,59
3317, 78,59
3318, 78,59
3319, 78,59
3320, 77,59
3321, 77,59
3322, 77,59
3323, 77,59
3324, 79,59
3325, 77,59
3326, 76,59
3327, 74,59
3328, 76,59
3329, 75,59
3330, 79,59
3331, 78,59
3332, 77,59
3333, 79,59
3334, 83,59
3335, 77,59
3336, 79,59
3337, 79,59
3338, 81,59
3339, 77,59
3340, 76,59
3341, 76,59
3342, 78,59
3343, 78,59
3344, 80,59
3345, 78,59
3346, 79,59
3347, 83,59
3348, 81,59
3349, 78,59
3350, 79,59
3351, 83,59
3352, 76,59
3353, 77,59
3354, 75,59
3355, 78,59
3356, 88,59
3357, 89,59
3358, 84,59
3359, 84,59
3360, 86,59
3361, 77,59
3362, 80,59
3363, 81,59
3364, 78,59
3365, 78,59
3366, 93,59
3367, 77,59
3368, 77,59
3369, 79,59
3370, 79,59
3371, 79,59
3372, 77,59
3373, 83,59
3374, 81,59
3375, 78,59
3376, 82,59
3377, 78,59
3378, 83,59
3379, 91,59
3380, 124,59
3381, 90,59
3382, 83,59
3383, 82,59
3384, 78,59
3385, 80,59
3386, 82,59
3387, 87,59
3388, 81,59
3389, 80,59
3390, 86,59
3391, 96,59
3392, 98,59
3393, 117,59
3394, 118,59
3395, 136,59
3396, 109,59
3397, 107,59
3398, 87,59
3399, 84,59
3400, 79,59
3401, 78,59
3402, 80,59
3403, 80,59
3404, 83,59
3405, 79,59
3406, 77,59
3407, 76,59
3408, 76,59
3409, 88,59
3410, 83,59
3411, 82,59
3412, 77,59
3413, 78,59
3414, 81,59
3415, 82,59
3416, 78,59
3417, 78,59
3418, 79,59
3419, 77,59
3420, 79,59
3421, 77,59
3422, 79,59
3423, 77,59
3424, 78,59
3425, 78,59
3426, 77,59
3427, 84,59
3428, 83,59
3429, 80,59
3430, 86,59
3431, 79,59
3432, 79,59
3433, 79,59
3434, 79,59
3435, 83,59
3436, 77,59
3437, 81,59
3438, 82,59
3439, 78,59
3440, 82,59
3441, 81,59
3442, 80,59
3443, 79,59
3444, 79,59
3445, 79,59
3446, 84,59
3447, 83,59
3448, 81,59
3449, 77,59
3450, 81,59
3451, 77,59
3452, 81,59
3453, 80,59
3454, 80,59
3455, 79,59
3456, 82,59
3457, 78,59
3458, 79,59
3459, 83,59
3460, 82,58
3461, 81,59
3462, 77,59
3463, 77,59
3464, 78,59
3465, 78,59
3466, 79,59
3467, 77,59
3468, 78,59
3469, 77,59
3470, 78,59
3471, 80,59
3472, 81,59
3473, 78,59
3474, 79,58
3475, 91,58
3476, 82,59
3477, 87,58
3478, 85,59
3479, 85,59
3480, 83,58
3481, 85,58
3482, 86,59
3483, 83,59
3484, 81,59
3485, 80,59
3486, 80,59
3487, 80,59
3488, 80,59
3489, 80,59
3490, 79,58
3491, 79,59
3492, 80,58
3493, 89,58
3494, 81,58
3495, 83,59
3496, 91,58
3497, 93,59
3498, 88,59
3499, 85,59
3500, 81,59
3501, 81,58
3502, 91,59
3503, 91,59
3504, 89,59
3505, 90,59
3506, 87,58
3507, 97,58
3508, 98,58
3509, 107,58
3510, 92,58
3511, 87,58
3512, 95,58
3513, 93,58
3514, 86,58
3515, 84,58
3516, 84,58
3517, 84,59
3518, 85,59
3519, 79,59
3520, 77,58
3521, 78,59
3522, 82,59
3523, 87,58
3524, 94,58
3525, 86,59
3526, 86,58
3527, 89,58
3528, 83,58
3529, 82,58
3530, 85,58
3531, 86,59
3532, 100,58
3533, 92,58
3534, 80,58
3535, 78,59
3536, 84,58
3537, 79,59
3538, 81,58
3539, 81,58
3540, 102,58
3541, 89,58
3542, 89,58
3543, 88,58
3544, 98,58
3545, 160,58
3546, 134,58
3547, 87,58
3548, 90,59
3549, 93,58
3550, 84,59
3551, 87,59
3552, 90,59
3553, 86,58
3554, 87,58
3555, 86,58
3556, 89,58
3557, 83,58
3558, 80,58
3559, 102,58
3560, 86,58
3561, 85,58
3562, 85,58
3563, 97,58
3564, 88,58
3565, 84,58
3566, 84,59
3567, 88,58
3568, 91,58
3569, 93,58
3570, 93,59
3571, 88,58
3572, 91,58
3573, 92,58
3574, 89,58
3575, 90,58
3576, 93,58
3577, 87,58
3578, 84,58
3579, 91,58
3580, 91,58
3581, 80,58
3582, 80,59
3583, 85,58
3584, 86,58
3585, 85,58
3586, 84,58
3587, 80,58
3588, 81,58
3589, 86,58
3590, 81,58
3591, 91,58
